paperTitle	citedPaperTitle
Curvature terms in D-brane actions and their M-theory origin	Decay of Excited D-branes
Curvature terms in D-brane actions and their M-theory origin	TASI Lectures on D-Branes
Curvature terms in D-brane actions and their M-theory origin	One loop in eleven dimensions
Curvature terms in D-brane actions and their M-theory origin	World-Volume Interactions on D-Branes
Curvature-induced phase transition in three-dimensional Thirring model	Thirring Model as a Gauge Theory
Curvature-induced phase transition in three-dimensional Thirring model	Bosonization and Duality of Massive Thirring Model
Curvature-induced phase transition in three-dimensional Thirring model	Phase structure of renormalizable four-fermion models in spacetimes of
Curvature-induced phase transition in three-dimensional Thirring model	Chiral symmetry breaking in gauged {bf NJL} model in curved spacetime
Curved BPS domain walls and RG flow in five dimensions	Holography and Defect Conformal Field Theories
Curved BPS domain walls and RG flow in five dimensions	Holographic Domains of Anti-de Sitter Space
Curved BPS domain walls and RG flow in five dimensions	Anti De Sitter Space And Holography
Curved BPS domain walls and RG flow in five dimensions	Gravitational Stability and Renormalization-Group Flow
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	Multi-centered black holes in gauged D=5 supergravity
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	Charged Rotating Black Holes in 5d Einstein-Maxwell-(A)dS Gravity
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	Membranes Wrapped on Holomorphic Curves
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	The Large N Limit of Superconformal Field Theories and Supergravity
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	Anti De Sitter Space And Holography
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	BPS Black Holes in Gauged N=4, D=4 Supergravity
Curved Branes in AdS Einstein-Maxwell Gravity and Killing Spinors	Magnetic Strings In Five Dimensional Gauged Supergravity Theories
Curves of Marginal Stability in N=2 Super-QCD	NULL
Custodial supersymmetry in non-supersymmetric quiver theories	(De)Constructing Dimensions
Custodial supersymmetry in non-supersymmetric quiver theories	Gauge Invariant Effective Lagrangian for Kaluza-Klein Modes
Custodial supersymmetry in non-supersymmetric quiver theories	Mother Moose: Generating Extra Dimensions from Simple Groups at Large N
Custodial supersymmetry in non-supersymmetric quiver theories	SUSY Quivers, Intersecting Branes and the Modest Hierarchy Problem
Custodial supersymmetry in non-supersymmetric quiver theories	On Conformal Theories in Four Dimensions
Cyclic monodromy matrices for sl(n) trigonometric R-matrices	NULL
Cyclic Monopoles	Monopole Zeros
D branes in string theory, II	TASI Lectures on D-Branes
D branes in string theory, II	Boundary states for moving D-branes
D branes in string theory, II	Tachyon Condensation on the Brane Antibrane System
D branes in string theory, II	Generalized Supersymetric Boundary State
D(NA)-Branes	How Bob Laughlin Tamed the Giant Graviton from Taub-NUT space
D(NA)-Branes	Instantons and seven-branes in type IIB superstring theory
D(NA)-Branes	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
D--branes and Spinning Black Holes	NULL
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	D-Brane Solutions in pp-wave Background
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	Modular Invariance of Strings on PP-Waves with RR-flux
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	D-Branes at angle in pp-wave Background
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	Superstrings and D-branes in Plane Wave
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	K-theory and Ramond-Ramond charge
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	Tachyon Condensation on the Brane Antibrane System
D-brane - Anti-D-brane Forces in Plane Wave Backgrounds: A Fall From	Type IIA D-Branes, K-Theory, and Matrix Theory
D-brane Analyses for BPS Mass Spectra and U-duality	Massless Black Holes and Conifolds in String Theory
D-brane Analyses for BPS Mass Spectra and U-duality	Bound States Of Strings And p-Branes
D-brane Analyses for BPS Mass Spectra and U-duality	D-Strings on D-Manifolds
D-brane Analyses for BPS Mass Spectra and U-duality	Small Instantons in String Theory
D-brane Analyses for BPS Mass Spectra and U-duality	TASI Lectures on D-Branes
D-brane Analyses for BPS Mass Spectra and U-duality	A Large-N Reduced Model as Superstring
D-brane Analyses for BPS Mass Spectra and U-duality	On non-abelian generalisation of Born-Infeld action in string theory
D-brane Analyses for BPS Mass Spectra and U-duality	Matrix String Theory
D-brane and Gauge Invariance in Closed String Field Theory	Target Space Duality as a Symmetry of String Field Theory
D-brane and Gauge Invariance in Closed String Field Theory	TASI Lectures on D-Branes
D-brane annihilation, renormalization-group flow and non-linear	Small Instantons in String Theory
D-brane annihilation, renormalization-group flow and non-linear	TASI Lectures on D-Branes
D-brane annihilation, renormalization-group flow and non-linear	Gauge-Invariant and Gauge-Fixed D-Brane Actions
D-brane annihilation, renormalization-group flow and non-linear	K-theory and Ramond-Ramond charge
D-brane annihilation, renormalization-group flow and non-linear	Tachyon Condensation on the Brane Antibrane System
D-brane annihilation, renormalization-group flow and non-linear	Type IIA D-Branes, K-Theory, and Matrix Theory
D-brane annihilation, renormalization-group flow and non-linear	A Correspondence Between Supersymmetric Yang-Mills and Supergravity
D-brane conformal field theory	From Dynkin diagram symmetries to fixed point structures
D-brane Dynamics and the Quantum Hall Effect	How Bob Laughlin Tamed the Giant Graviton from Taub-NUT space
D-brane Dynamics and the Quantum Hall Effect	On the stability of the Quantum Hall soliton
D-Brane Gauge Theories from Toric Singularities and Toric Duality	Aspects of Type IIB Theory on ALE Spaces
D-Brane Gauge Theories from Toric Singularities and Toric Duality	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
D-Brane Gauge Theories from Toric Singularities and Toric Duality	String Theory on Calabi-Yau Manifolds
D-Brane Gauge Theories from Toric Singularities and Toric Duality	D-branes on Orbifolds and Topology Change
D-Brane Gauge Theories from Toric Singularities and Toric Duality	On Conformal Theories in Four Dimensions
D-Brane Gauge Theories from Toric Singularities and Toric Duality	Brane Configurations for Three-dimensional Nonabelian Orbifolds
D-Brane Gauge Theories from Toric Singularities and Toric Duality	Z-D Brane Box Models and Non-Chiral Dihedral Quivers
D-Brane Instantons and K-Theory Charges	E8 Gauge Theory, and a Derivation of K-Theory from M-Theory
D-Brane Instantons and K-Theory Charges	Overview Of K-Theory Applied To Strings
D-Brane Instantons and K-Theory Charges	Noncommutative Tachyons and K-Theory
D-Brane Instantons and K-Theory Charges	Dirac Charge Quantization and Generalized Differential Cohomology
D-Brane Instantons and K-Theory Charges	From Dynkin diagram symmetries to fixed point structures
D-Brane Instantons and K-Theory Charges	K-theory and Ramond-Ramond charge
D-Brane Instantons and K-Theory Charges	Tachyon Condensation on the Brane Antibrane System
D-Brane Instantons and K-Theory Charges	Conformal field theory: a case study
D-Brane Instantons and K-Theory Charges	Symmetry breaking boundaries II. More structures; examples
D-Brane Instantons and K-Theory Charges	Non-commutative World-volume Geometries: Branes on SU(2) and Fuzzy
D-Brane Instantons and K-Theory Charges	The geometry of WZW branes
D-Brane Primer	On Orientifolds, Discrete Torsion, Branes and M Theory
D-Brane Primer	Invasion of the Giant Gravitons from Anti-de Sitter Space
D-Brane Primer	E8 Gauge Theory, and a Derivation of K-Theory from M-Theory
D-Brane Primer	Brane Configurations of BPS Domain Walls for the N=1^* SU(N) Gauge
D-Brane Primer	Open strings and their symmetry groups
D-Brane Primer	Type II p-branes: the brane-scan revisited
D-Brane Primer	Axionic Defect Anomalies and their Cancellation
D-Brane Primer	Anomaly Inflow for Gauge Defects
D-Brane Primer	Point-Like States for Type 2b Superstrings
D-Brane Primer	Massless Black Holes and Conifolds in String Theory
D-Brane Primer	Ten Dimensional Heterotic String as a Soliton
D-Brane Primer	Singular BPS Saturated States and Enhanced Symmetries of
D-Brane Primer	Is string theory a theory of strings?
D-Brane Primer	Bound States Of Strings And p-Branes
D-Brane Primer	D-Strings on D-Manifolds
D-Brane Primer	Small Instantons in String Theory
D-Brane Primer	Duality of Type II 7-branes and 8-branes
D-Brane Primer	An Orientifold of Type-IIB Theory on K3
D-Brane Primer	F-theory and Orientifolds
D-Brane Primer	Tensors from K3 Orientifolds
D-Brane Primer	A Comment on the Spectrum of H-Monopoles
D-Brane Primer	Three Dimensional Gauge Theories and Monopoles
D-Brane Primer	Kaluza-Klein on the Brane
D-Brane Primer	Aspects of Type IIB Theory on ALE Spaces
D-Brane Primer	TASI Lectures on D-Branes
D-Brane Primer	Geometric Engineering of N=1 Quantum Field Theories
D-Brane Primer	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
D-Brane Primer	On non-abelian generalisation of Born-Infeld action in string theory
D-Brane Primer	Branes, Superpotentials and Superconformal Fixed Points
D-Brane Primer	Consistency Conditions for Branes at Orbifold Singularities
D-Brane Primer	Four-dimensional N=1 Z_N X Z_M Orientifolds
D-Brane Primer	K-theory and Ramond-Ramond charge
D-Brane Primer	D-branes and the Noncommutative Torus
D-Brane Primer	The Large N Limit of Superconformal Field Theories and Supergravity
D-Brane Primer	BPS Bounds for Worldvolume Branes
D-Brane Primer	M-Theory as a Holographic Field Theory
D-Brane Primer	Fractional Branes and Wrapped Branes
D-Brane Primer	D-particle bound states and generalized instantons
D-Brane Primer	BPS States of the Non-Abelian Born-Infeld Action
D-Brane Primer	Tachyon Condensation on the Brane Antibrane System
D-Brane Primer	An Sl(2,Z) Multiplet of Nine-Dimensional Type II Supergravity Theories
D-Brane Primer	D-branes in Gepner models and supersymmetry
D-Brane Primer	World-Volume Interactions on D-Branes
D-Brane Primer	N=8 SCFT and M Theory on AdS_4 x RP^7
D-Brane Primer	Type IIA D-Branes, K-Theory, and Matrix Theory
D-Brane Primer	Anomalies and inflow on D-branes and O-planes
D-Brane Primer	Curvature terms in D-brane actions and their M-theory origin
D-Brane Primer	Multiple D0-branes in Weakly Curved Backgrounds
D-Brane Primer	D-branes on the Quintic
D-Brane Primer	Constructing D-Branes from K-Theory
D-Brane Primer	Gravitational Couplings, Orientifolds and M-Planes
D-Brane Primer	Born-Infeld action, supersymmetry and string theory
D-Brane Primer	Supersymmetric Orientifolds in 6D with D-Branes at Angles
D-Brane Primer	Comments on Non-Supersymmetric Orientifolds at Strong Coupling
D-Brane Probes of G_2 Holonomy Manifolds	M-Theory on Spin(7) Manifolds
D-Brane Probes of G_2 Holonomy Manifolds	Mirror symmetry for N=1 QED in three dimensions
D-brane probes on G2 Orbifolds	Rolling among G_2 vacua
D-brane probes on G2 Orbifolds	Moduli Spaces and Brane Solitons for M-Theory Compactifications on
D-brane probes on G2 Orbifolds	Mirror Symmetry and a G_2 Flop
D-brane probes on G2 Orbifolds	Branes Wrapped on Coassociative Cycles
D-brane probes on G2 Orbifolds	D6-branes wrapping Kahler four-cycles
D-brane probes on G2 Orbifolds	Anomaly Cancellation On Manifolds Of G_2 Holonomy
D-brane probes on G2 Orbifolds	Cohomogeneity One Manifolds of Spin(7) and G(2) Holonomy
D-brane probes on G2 Orbifolds	M-Theory on Spin(7) Manifolds
D-brane probes on G2 Orbifolds	Geometric Transition versus Cascading Solution
D-brane probes on G2 Orbifolds	Geometric Transitions, Brane Dynamics and Gauge Theories
D-brane probes on G2 Orbifolds	Aspects of Type IIB Theory on ALE Spaces
D-brane probes on G2 Orbifolds	D-particles on T^4/Z_n orbifolds and their resolutions
D-brane probes on G2 Orbifolds	M theory, Joyce Orbifolds and Super Yang-Mills
D-brane realizations of runaway behavior and moduli stabilization	Geometric Transitions and N=1 Quiver Theories
D-brane realizations of runaway behavior and moduli stabilization	Exact superpotentials in N=1 theories with flavor and their matrix model
D-brane realizations of runaway behavior and moduli stabilization	Chiral Rings and Anomalies in Supersymmetric Gauge Theory
D-brane realizations of runaway behavior and moduli stabilization	Exact Mesonic Vacua From Matrix Models
D-brane realizations of runaway behavior and moduli stabilization	de Sitter Vacua in String Theory
D-brane realizations of runaway behavior and moduli stabilization	Non-Perturbative Superpotentials In String Theory
D-brane realizations of runaway behavior and moduli stabilization	Dynamical Supersymmetry Breaking
D-brane Solutions in Non-Commutative Gauge Theory on Fuzzy Sphere	Solitons in Noncommutative Gauge Theory
D-brane Solutions in Non-Commutative Gauge Theory on Fuzzy Sphere	Algebraic Renormalization of N=2 Supersymmetric Yang-Mills
D-brane Solutions in Non-Commutative Gauge Theory on Fuzzy Sphere	The Chern-Simons Coefficient in Supersymmetric Yang-Mills Chern-Simons
D-brane Solutions in Non-Commutative Gauge Theory on Fuzzy Sphere	Bound States Of Strings And p-Branes
D-brane Solutions in Non-Commutative Gauge Theory on Fuzzy Sphere	D-branes and the Noncommutative Torus
D-brane Solutions in Non-Commutative Gauge Theory on Fuzzy Sphere	Non-commutative World-volume Geometries: Branes on SU(2) and Fuzzy
D-Brane Solutions in pp-wave Background	Duality of Type II 7-branes and 8-branes
D-Brane Solutions in pp-wave Background	K-Models and Type IIB Superstring Backgrounds
D-branes and Creation of Strings	Some Speculations about Black Hole Entropy in String Theory
D-branes and Creation of Strings	The Size of p-Branes
D-branes and Creation of Strings	Small Instantons in String Theory
D-branes and Creation of Strings	Entropy and Temperature of Black 3-Branes
D-branes and Creation of Strings	Statistical Entropy of Four-Dimensional Extremal Black Holes
D-branes and Creation of Strings	Harmonic superpositions of M-branes
D-branes and Creation of Strings	Decay of Excited D-branes
D-branes and Creation of Strings	Comparing decay rates for black holes and D-branes
D-branes and Creation of Strings	Universality of the Operator Product Expansions of SCFT_4
D-branes and Creation of Strings	TASI Lectures on D-Branes
D-branes and Creation of Strings	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
D-branes and Creation of Strings	Evolution of near extremal black holes
D-branes and Creation of Strings	String Theory and Classical Absorption by Threebranes
D-branes and Creation of Strings	Can the effective string see higher partial waves?
D-branes and Creation of Strings	Branes, Orientifolds and the Creation of Elementary Strings
D-branes and Creation of Strings	Absorption by Branes and Schwinger Terms in the World Volume Theory
D-branes and Deformation Quantization	TASI Lectures on D-Branes
D-branes and Deformation Quantization	Supersymmetric quantum theory and (non-commutative) differential
D-branes and Deformation Quantization	D-branes and the Noncommutative Torus
D-branes and Discrete Torsion	Tensors from K3 Orientifolds
D-branes and Discrete Torsion	Aspects of Type IIB Theory on ALE Spaces
D-branes and Discrete Torsion	D-branes on Orbifolds and Topology Change
D-branes and Discrete Torsion	D-branes and the Noncommutative Torus
D-branes and Discrete Torsion	Fractional Branes and Wrapped Branes
D-branes and Discrete Torsion	On Conformal Theories in Four Dimensions
D-Branes and Dual Gauge Theories in Type 0 String Theory	Point-Like States for Type 2b Superstrings
D-Branes and Dual Gauge Theories in Type 0 String Theory	Some Properties of Open - String Theories
D-Branes and Dual Gauge Theories in Type 0 String Theory	Bound States Of Strings And p-Branes
D-Branes and Dual Gauge Theories in Type 0 String Theory	Entropy and Temperature of Black 3-Branes
D-Branes and Dual Gauge Theories in Type 0 String Theory	TASI Lectures on D-Branes
D-Branes and Dual Gauge Theories in Type 0 String Theory	String Theory and Classical Absorption by Threebranes
D-Branes and Dual Gauge Theories in Type 0 String Theory	Absorption by Branes and Schwinger Terms in the World Volume Theory
D-Branes and Dual Gauge Theories in Type 0 String Theory	The Large N Limit of Superconformal Field Theories and Supergravity
D-Branes and Dual Gauge Theories in Type 0 String Theory	Anti De Sitter Space And Holography
D-Branes and Dual Gauge Theories in Type 0 String Theory	Evaluation Of Glueball Masses From Supergravity
D-branes and KK-theory in Type I String Theory	Overview Of K-Theory Applied To Strings
D-branes and KK-theory in Type I String Theory	Noncommutative Tachyons and K-Theory
D-branes and KK-theory in Type I String Theory	Brane-Antibrane Action from Boundary String Field Theory
D-branes and KK-theory in Type I String Theory	D-branes, Matrix Theory and K-homology
D-branes and KK-theory in Type I String Theory	A Large-N Reduced Model as Superstring
D-branes and KK-theory in Type I String Theory	K-theory and Ramond-Ramond charge
D-branes and Near Extremal Black Holes at Low Energies	D-Strings on D-Manifolds
D-branes and Near Extremal Black Holes at Low Energies	D--branes and Spinning Black Holes
D-branes and Near Extremal Black Holes at Low Energies	Statistical Entropy of Four-Dimensional Extremal Black Holes
D-branes and Near Extremal Black Holes at Low Energies	Statistical Entropy of Nonextremal Four-Dimensional Black Holes and
D-branes and Near Extremal Black Holes at Low Energies	Comparing decay rates for black holes and D-branes
D-branes and Near Extremal Black Holes at Low Energies	Black Holes in String Theory
D-branes and the Noncommutative Torus	Another Conjecture about M(atrix) Theory
D-branes and the Noncommutative Torus	D0 Branes on T^n and Matrix Theory
D-Branes and their Absorptivity in Born-Infeld Theory	TASI Lectures on D-Branes
D-Branes and their Absorptivity in Born-Infeld Theory	Nonlinear Electrodynamics with Singularities (Modernized Born-Infeld
D-Branes and their Absorptivity in Born-Infeld Theory	BPS States of the Non-Abelian Born-Infeld Action
D-Branes and their Absorptivity in Born-Infeld Theory	Exact absorption probabilities for the D3-brane
D-Branes and their Absorptivity in Born-Infeld Theory	Massive-Scalar Absorption by Extremal p-branes
D-Branes at angle in pp-wave Background	D-Brane Solutions in pp-wave Background
D-Branes at angle in pp-wave Background	M5-branes with 3/8 supersymmetry in pp-wave background
D-Branes at angle in pp-wave Background	BPS-Saturated Bound States of Tilted P-Branes in Type II String Theory
D-branes in Gepner models and supersymmetry	Massless Black Holes and Conifolds in String Theory
D-branes in group manifolds and flux stabilization	A note on D-branes in group manifolds: flux quantisation and D0-charge
D-branes in group manifolds and flux stabilization	On the Quantization Constraints for a D3 Brane in the Geometry of NS5
D-branes in group manifolds and flux stabilization	From Dynkin diagram symmetries to fixed point structures
D-branes in group manifolds and flux stabilization	The geometry of WZW branes
D-branes in Melvin Background	Orbifold boundary states from Cardys condition
D-branes in Melvin Background	A Review on Tachyon Condensation in Open String Field Theories
D-branes in Melvin Background	Closed String Tachyons, AdS/CFT, and Large N QCD
D-branes in Melvin Background	Exact solitons on noncommutative tori
D-branes in Melvin Background	Fluxbranes from p-branes
D-branes in Melvin Background	Dont Panic! Closed String Tachyons in ALE Spacetimes
D-branes in Melvin Background	D-Brane Instantons and K-Theory Charges
D-branes in Melvin Background	Magnetic backgrounds and tachyonic instabilities in closed string theory
D-branes in Melvin Background	Generalised supersymmetric fluxbranes
D-branes in Melvin Background	Pair Creation of Dilaton Black Holes
D-branes in Melvin Background	Fractional Branes and Wrapped Branes
D-branes in Melvin Background	D-Branes and Dual Gauge Theories in Type 0 String Theory
D-branes in Melvin Background	Type IIA D-Branes, K-Theory, and Matrix Theory
D-branes in Melvin Background	Dualities of Type 0 Strings
D-branes in Melvin Background	Branes in type 0/type II duality
D-branes in Melvin Background	Non-commutative World-volume Geometries: Branes on SU(2) and Fuzzy
D-branes in Melvin Background	Spontaneously Broken Space-Time Supersymmetry in Open String Theory
D-branes in Melvin Background	D branes in string theory, II
D-branes in Nonabelian Orbifolds with Discrete Torsion	Discrete Torsion, AdS/CFT and duality
D-branes in Nonabelian Orbifolds with Discrete Torsion	On the Consistency of Orbifolds
D-branes in Nonabelian Orbifolds with Discrete Torsion	D-branes on Orbifolds with Discrete Torsion And Topological Obstruction
D-branes in Nonabelian Orbifolds with Discrete Torsion	Discrete torsion orbifolds and D-branes
D-branes in Nonabelian Orbifolds with Discrete Torsion	A Note on the Equivalence of Vafas and Douglass Picture of Discrete
D-branes in Nonabelian Orbifolds with Discrete Torsion	Orbifold boundary states from Cardys condition
D-branes in Nonabelian Orbifolds with Discrete Torsion	D-branes and Discrete Torsion
D-branes in Nonabelian Orbifolds with Discrete Torsion	D branes in string theory, II
D-branes on Orbifolds and Topology Change	On the Geometric Interpretation of N = 2 Superconformal Theories
D-branes on Orbifolds and Topology Change	Phase Transitions In M-Theory And F-Theory
D-branes on Orbifolds and Topology Change	Aspects of Type IIB Theory on ALE Spaces
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Discrete Torsion, AdS/CFT and duality
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Tensors from K3 Orientifolds
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Aspects of Type IIB Theory on ALE Spaces
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	K-theory and Ramond-Ramond charge
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Fractional Branes and Wrapped Branes
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	On Conformal Theories in Four Dimensions
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Tachyon Condensation on the Brane Antibrane System
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Stable non-BPS D-particles
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	D-branes and Discrete Torsion
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Discrete Torsion and Gerbes II
D-branes on Orbifolds with Discrete Torsion And Topological Obstruction	Topics in D-geometry
D-branes on Singularities: New Quivers from Old	Discrete Torsion, AdS/CFT and duality
D-branes on Singularities: New Quivers from Old	D-branes on Orbifolds with Discrete Torsion And Topological Obstruction
D-branes on Singularities: New Quivers from Old	Geometric Engineering of N=1 Quantum Field Theories
D-branes on Singularities: New Quivers from Old	Mirror symmetry and Exact Solution of 4D N=2 Gauge Theories I
D-branes on Singularities: New Quivers from Old	New ``Gauge Theories In Six Dimensions
D-branes on Singularities: New Quivers from Old	The Large N Limit of Superconformal Field Theories and Supergravity
D-branes on Singularities: New Quivers from Old	Anti De Sitter Space And Holography
D-branes on Singularities: New Quivers from Old	Z-D Brane Box Models and Non-Chiral Dihedral Quivers
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Supersymmetry and F-theory realization of the deformed conifold with
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Stable Non-BPS States and Their Holographic Duals
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Non-Extremal Gravity Duals for Fractional D3-Branes on the Conifold
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	k-string tensions in SU(N) gauge theories
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Geometric Transition versus Cascading Solution
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	More Anomalies from Fractional Branes
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Entropy and Temperature of Black 3-Branes
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	New N=1 Superconformal Field Theories in Four Dimensions from D-brane
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	The Large N Limit of Superconformal Field Theories and Supergravity
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Anti De Sitter Space And Holography
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	On Conformal Theories in Four Dimensions
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Superconformal Field Theory on Threebranes at a Calabi-Yau Singularity
D-Branes on the Conifold and N=1 Gauge/Gravity Dualities	Baryons and Domain Walls in an N = 1 Superconformal Gauge Theory
D-branes on the Quintic	(0,2) Landau-Ginzburg Theory
D-branes on the Quintic	Kodaira-Spencer Theory of Gravity and Exact Results for Quantum String
D-branes on the Quintic	The Moduli Space of N = 2 Superconformal Field Theories
D-branes on the Quintic	Massless Black Holes and Conifolds in String Theory
D-branes on the Quintic	Black Hole Condensation and the Unification of String Vacua
D-branes on the Quintic	Mirror Symmetry is T-Duality
D-branes on the Quintic	Tensors from K3 Orientifolds
D-branes on the Quintic	TASI Lectures on D-Branes
D-branes on the Quintic	D-Branes, Moduli and Supersymmetry
D-branes on the Quintic	String Theory on Calabi-Yau Manifolds
D-branes on the Quintic	Kappa-Symmetry, Supersymmetry and Intersecting Branes
D-branes on the Quintic	D0 Branes on T^n and Matrix Theory
D-branes on the Quintic	K-theory and Ramond-Ramond charge
D-branes on the Quintic	D-branes and the Noncommutative Torus
D-branes on the Quintic	Fractional Branes and Wrapped Branes
D-branes on the Quintic	On Conformal Theories in Four Dimensions
D-branes on the Quintic	D-branes in Gepner models and supersymmetry
D-branes on the Quintic	D0-branes in Gepner models and N=2 black holes
D-Branes, Holonomy and M-Theory	Fivebranes Wrapped On Associative Three-Cycles
D-Branes, Holonomy and M-Theory	M-Fivebranes Wrapped on Supersymmetric Cycles
D-Branes, Holonomy and M-Theory	Supergravity duals of gauge theories from F(4) gauged supergravity in
D-Branes, Holonomy and M-Theory	Non-Perturbative Superpotentials In String Theory
D-Branes, Holonomy and M-Theory	Tensors from K3 Orientifolds
D-Branes, Holonomy and M-Theory	Aspects of Type IIB Theory on ALE Spaces
D-Branes, Holonomy and M-Theory	Geometric Engineering of N=1 Quantum Field Theories
D-Branes, Holonomy and M-Theory	Mirror symmetry and Exact Solution of 4D N=2 Gauge Theories I
D-Branes, Holonomy and M-Theory	Fractional Branes and Wrapped Branes
D-branes, Matrix Theory and K-homology	E8 Gauge Theory, and a Derivation of K-Theory from M-Theory
D-branes, Matrix Theory and K-homology	Derivative corrections to D-brane actions with constant background
D-branes, Matrix Theory and K-homology	Noncommutative Tachyons and K-Theory
D-branes, Matrix Theory and K-homology	The effect of a topological gauge field on Bose-Einstein condensation
D-branes, Matrix Theory and K-homology	Boundary States in B-Field Background
D-branes, Matrix Theory and K-homology	Brane-Antibrane Action from Boundary String Field Theory
D-branes, Matrix Theory and K-homology	Boundary String Field Theory, the Boundary State Formalism and D-Brane
D-branes, Matrix Theory and K-homology	A Large-N Reduced Model as Superstring
D-branes, Matrix Theory and K-homology	Matrix String Theory
D-branes, Matrix Theory and K-homology	K-theory and Ramond-Ramond charge
D-branes, Matrix Theory and K-homology	Spontaneously Broken Space-Time Supersymmetry in Open String Theory
D-Branes, Moduli and Supersymmetry	Bound States Of Strings And p-Branes
D-Branes, Moduli and Supersymmetry	D--branes and Spinning Black Holes
D-Branes, Moduli and Supersymmetry	Statistical Entropy of Four-Dimensional Extremal Black Holes
D-Branes, Moduli and Supersymmetry	Universality of Sypersymmetric Attractors
D-Branes, Moduli and Supersymmetry	Harmonic superpositions of M-branes
D-branes, Symplectomorphisms and Noncommutative Gauge Theories	On the Stability of Compactified D=11 Supermembranes
D-branes, Symplectomorphisms and Noncommutative Gauge Theories	D-branes and the Noncommutative Torus
D-branes, Symplectomorphisms and Noncommutative Gauge Theories	Non commutative geometry and super Yang-Mills theory
D-branes, Symplectomorphisms and Noncommutative Gauge Theories	D-branes and Deformation Quantization
D-Branes, Tachyons and K-Homology	Overview Of K-Theory Applied To Strings
D-Branes, Tachyons and K-Homology	Noncommutative Tachyons and K-Theory
D-Branes, Tachyons and K-Homology	Brane-Antibrane Action from Boundary String Field Theory
D-Branes, Tachyons and K-Homology	D-branes, Matrix Theory and K-homology
D-Branes, Tachyons and K-Homology	D-Brane Instantons and K-Theory Charges
D-Branes, Tachyons and K-Homology	K-theory and Ramond-Ramond charge
D-Branes, Tachyons and K-Homology	Type IIA D-Branes, K-Theory, and Matrix Theory
D-Branes, Tachyons and K-Homology	Ramond-Ramond Couplings on Brane-Antibrane Systems
D-Branes, Tachyons and K-Homology	Constructing D-Branes from K-Theory
D-effects in Toroidally Compactified Type II String Theory	Massless Black Holes and Conifolds in String Theory
D-effects in Toroidally Compactified Type II String Theory	D-instantons, Strings and M-theory
D-effects in Toroidally Compactified Type II String Theory	One loop in eleven dimensions
D-Instantons and asymptotic geometries	Instantons and seven-branes in type IIB superstring theory
D-Instantons and asymptotic geometries	Duality of Type II 7-branes and 8-branes
D-Instantons and asymptotic geometries	Harmonic superpositions of M-branes
D-Instantons and asymptotic geometries	U-duality between Three and Higher Dimensional Black Holes
D-Instantons and asymptotic geometries	The Large N Limit of Superconformal Field Theories and Supergravity
D-Instantons and asymptotic geometries	Anti De Sitter Space And Holography
D-Instantons and asymptotic geometries	N=1,2 4D Superconformal Field Theories and Supergravity in AdS_5
D-instantons and Matrix Models	1992 Trieste Lectures on Topological Gauge Theory and Yang-Mills Theory
D-instantons and Matrix Models	Bound States Of Strings And p-Branes
D-instantons and Matrix Models	Instantons and seven-branes in type IIB superstring theory
